foul_smell_of urine,"Unusual odor in urine, potentially indicating infection or dehydration."
continuous_feel_of_urine,"Frequent urge to urinate even when the bladder is not full."
passage_of_gases,"Release of intestinal gas through the rectum, commonly due to digestion."
internal_itching,"Sensation of itching without visible skin irritation, possibly from allergies or nerves."
toxic_look_(typhos),"A severely ill appearance, often associated with systemic infections like typhoid."
depression,"Persistent sadness and lack of interest affecting daily life."
irritability,"Easily annoyed or angered, commonly a sign of stress or mood disorders."
muscle_pain,"Discomfort or aches in muscles, often from strain, infection, or inflammation."
altered_sensorium,"Reduced or altered awareness, often due to neurological or metabolic issues."
red_spots_over_body,"Small red dots or rashes appearing on the skin, often from infections or allergies."
belly_pain,"Pain in the abdominal area, possibly due to digestive or organ-related issues."
abnormal_menstruation,"Irregular periods in terms of flow, timing, or pain, often from hormonal imbalance."
dischromic _patches,"Uneven skin pigmentation, commonly from fungal infections or autoimmune conditions."
watering_from_eyes,"Excessive tear production, often due to irritation, infection, or allergy."
increased_appetite,"Unusual surge in hunger, possibly due to metabolic or hormonal changes."
polyuria,"Frequent and excessive urination, commonly seen in diabetes."
family_history,"Presence of similar conditions in family members, indicating genetic predisposition."
mucoid_sputum,"Thick, mucus-like phlegm produced during coughing, often seen in infections."
rusty_sputum,"Brownish or blood-tinged sputum, usually from respiratory infections like pneumonia."
lack_of_concentration,"Inability to focus, often due to stress, fatigue, or mental health issues."
visual_disturbances,"Problems with vision such as blurring, flashing lights, or double vision."
receiving_blood_transfusion,"Undergoing transfusion, which can be a risk factor for certain infections."
receiving_unsterile_injections,"Injections given in non-hygienic conditions, increasing infection risk."
coma,"Prolonged state of unconsciousness due to severe illness or brain injury."
stomach_bleeding,"Bleeding in the gastrointestinal tract, presenting as dark vomit or stool."
distention_of_abdomen,"Swollen or bloated stomach, often from gas, fluid, or organ enlargement."
history_of_alcohol_consumption,"Previous or ongoing alcohol use, which may contribute to liver or neurological disorders."
fluid_overload.1,"Excess fluid in the body, often due to kidney, heart, or liver failure."
blood_in_sputum,"Presence of blood when coughing, typically from lung or airway damage."
prominent_veins_on_calf,"Noticeable veins in the legs, often due to varicose veins or deep vein thrombosis."
palpitations,"Feeling of rapid or irregular heartbeat, commonly due to anxiety or heart conditions."
painful_walking,"Discomfort while walking, often due to joint, muscle, or nerve issues."
pus_filled_pimples,"Acne containing pus, indicating bacterial infection of skin pores."
blackheads,"Small dark spots on the skin from clogged hair follicles."
scurring,"Flaky or crusty patches of skin, typically from dandruff or scalp infections."
skin_peeling,"Shedding of the outer skin layer, often from sunburn, infection, or dryness."
silver_like_dusting,"Silvery scale appearance on skin, characteristic of psoriasis."
small_dents_in_nails,"Tiny pits in the nails, often associated with psoriasis or eczema."
inflammatory_nails,"Redness and swelling around the nails, usually from infection or autoimmune disease."
blister,"Fluid-filled bump on the skin, often caused by friction, burns, or infection."
red_sore_around_nose,"Painful red lesions near the nose, commonly from bacterial infection."
yellow_crust_ooze,"Thick yellow discharge forming a crust, typically from infected skin wounds."
